Tank,Treatment,Day,ABS,Copper
4,T,0,45324.09,0.51040
6,T,0,46190.65,0.52022
7,T,0,44510.16,0.50118
8,T,0,45506.93,0.51247
9,C,0,205.29,0.00199
1,T,0,48081.12,0.54165
2,T,0,48237.82,0.54342
3,C,0,318.22,0.00326
5,C,0,344.16,0.00355
1,T,2,18493.19,0.20779
2,T,2,17753.32,0.19947
3,C,2,57.07,0.00069
4,T,2,18022.49,0.20250
5,C,2,106.52,0.00125
6,T,2,17309.5,0.19447
7,T,2,16791.29,0.18864
8,T,2,17064.27,0.19171
9,C,2,668.1,0.00754
1,T,3,37314.17,0.41683
2,T,3,33136.07,0.36980
3,C,3,316.11,0.00153
4,T,3,35766.36,0.39940
5,C,3,276.66,0.00109
6,T,3,32334.27,0.36078
7,T,3,31342.91,0.34963
8,T,3,31986.06,0.35686
9,C,3,482.02,0.00338
1,T,4,26447.82,0.28788
2,T,4,25207.37,0.27435
3,C,4,221.9,0.00250
4,T,4,26581.95,0.28934
5,C,4,125.34,0.00145
6,T,4,25126.37,0.27347
7,T,4,24837.48,0.27032
8,T,4,25147.18,0.27369
9,C,4,353.87,0.00393
1,T,5,47429.05,0.51125
2,T,5,45465.76,0.49001
3,C,5,497.26,0.00590
4,T,5,46487.16,0.50106
5,C,5,399.08,0.00485
6,T,5,45380.91,0.48909
7,T,5,42512.12,0.45806
8,T,5,43228.56,0.46581
9,C,5,519.34,0.00613
1,T,6,19066.55,0.20630
2,T,6,16129.38,0.17416
3,C,6,534.23,0.00380
4,T,6,18350.86,0.19847
5,C,6,544.26,0.00391
6,T,6,15641.18,0.16882
7,T,6,14534.57,0.15672
8,T,6,14953.56,0.16130
9,C,6,604.99,0.00457
1,T,7,38284.58,0.41560
2,T,7,36176.58,0.39259
3,C,7,523.88,0.00509
4,T,7,37514.29,0.40719
5,C,7,444.77,0.00424
6,T,7,35838.69,0.38891
7,T,7,42840.15,0.46535
8,T,7,35070.27,0.38053
9,C,7,642.39,0.00638
1,T,8,22723.59,0.24771
2,T,8,19850.86,0.21619
3,C,8,506.06,0.00431
4,T,8,21124.83,0.23017
5,C,8,422.08,0.00339
6,T,8,19928.4,0.21704
7,T,8,19926.57,0.21702
8,T,8,19753.6,0.21513
9,C,8,507.08,0.00432
1,T,9,46185.99,0.50564
2,T,9,49828.08,0.54576
3,C,9,830.75,0.00786
4,T,9,46176.86,0.50554
5,C,9,773.18,0.00723
6,T,9,47233.16,0.51717
7,T,9,47267.01,0.51755
8,T,9,47111.38,0.51583
9,C,9,943.61,0.00909
1,T,10,38419.22,0.42105
2,T,10,37864.47,0.41492
3,C,10,700.1,0.00552
4,T,10,37736.95,0.41351
5,C,10,846.13,0.00712
6,T,10,37382.52,0.40959
7,T,10,37424.56,0.41005
8,T,10,37441.5,0.41024
9,C,10,875.03,0.00744
