Tank,Treatment,Day,pH,Dissolved Oxygen,Specific Conductance,Temperature,Date
1,T,0,7.94,9.89,462,14.1,10-Oct-17
2,T,0,8.34,9.89,457,14.1,10-Oct-17
3,C,0,8.34,10.21,458,14.0,10-Oct-17
4,T,0,8.37,10.04,458,14.1,10-Oct-17
5,C,0,8.37,10.15,457,14.1,10-Oct-17
6,T,0,8.38,9.88,458,14.1,10-Oct-17
7,T,0,8.37,9.86,455,14.3,10-Oct-17
8,T,0,8.37,9.81,457,14.2,10-Oct-17
9,C,0,8.37,10.17,461,13.9,10-Oct-17
1,T,1,8.28,9.18,499,13.7,11-Oct-17
2,T,1,8.29,9.52,483,13.7,11-Oct-17
3,C,1,8.27,9.82,493,14.4,11-Oct-17
4,T,1,8.33,9.45,477,13.7,11-Oct-17
5,C,1,8.34,9.73,494,14.5,11-Oct-17
6,T,1,8.34,9.44,499,13.7,11-Oct-17
7,T,1,8.35,9.45,501,13.7,11-Oct-17
8,T,1,8.35,9.45,502,13.7,11-Oct-17
9,C,1,8.35,9.71,501,14.8,11-Oct-17
1,T,2,8.36,9.12,523,14.5,12-Oct-17
2,T,2,8.38,9.25,523,14.4,12-Oct-17
3,C,2,8.24,8.93,520,15.7,12-Oct-17
4,T,2,8.37,9.33,516,14.5,12-Oct-17
5,C,2,8.33,8.56,522,16.1,12-Oct-17
6,T,2,8.37,9.29,524,14.4,12-Oct-17
7,T,2,8.38,9.32,524,14.4,12-Oct-17
8,T,2,8.38,9.35,521,14.4,12-Oct-17
9,C,2,8.35,8.39,521,16.2,12-Oct-17
1,T,3,8.16,8.46,542,14.1,13-Oct-17
2,T,3,8.15,8.64,546,14.1,13-Oct-17
3,C,3,8.23,7.99,538,16.8,13-Oct-17
4,T,3,8.18,8.86,546,14.1,13-Oct-17
5,C,3,8.32,8.48,538,17.1,13-Oct-17
6,T,3,8.15,8.75,545,14.1,13-Oct-17
7,T,3,8.14,8.78,546,14.1,13-Oct-17
8,T,3,8.15,8.79,543,14.1,13-Oct-17
9,C,3,8.28,8.26,540,17.5,13-Oct-17
1,T,4,8.13,8.42,484,12.8,14-Oct-17
2,T,4,8.11,8.52,484,12.9,14-Oct-17
3,C,4,8.23,8.71,477,14.1,14-Oct-17
4,T,4,8.14,8.64,482,12.8,14-Oct-17
5,C,4,8.30,8.62,479,14.1,14-Oct-17
6,T,4,8.13,8.65,482,12.9,14-Oct-17
7,T,4,8.13,8.66,484,12.9,14-Oct-17
8,T,4,8.12,8.64,484,12.9,14-Oct-17
9,C,4,8.27,8.24,484,14.3,14-Oct-17
1,T,5,8.13,8.60,514,12.6,15-Oct-17
2,T,5,8.15,8.74,514,12.6,15-Oct-17
3,C,5,8.31,9.08,511,14.4,15-Oct-17
4,T,5,8.16,8.91,514,12.6,15-Oct-17
5,C,5,8.33,8.98,514,14.5,15-Oct-17
6,T,5,8.15,8.80,516,12.6,15-Oct-17
7,T,5,8.16,8.79,513,12.6,15-Oct-17
8,T,5,8.17,8.78,509,12.6,15-Oct-17
9,C,5,8.28,8.65,511,14.8,15-Oct-17
1,T,6,8.06,8.32,528,12.4,16-Oct-17
2,T,6,8.06,8.38,527,12.4,16-Oct-17
3,C,6,8.29,8.94,522,14.1,16-Oct-17
4,T,6,8.09,8.61,525,12.4,16-Oct-17
5,C,6,8.32,8.71,523,14.6,16-Oct-17
6,T,6,8.07,8.45,526,12.4,16-Oct-17
7,T,6,8.00,8.46,527,12.4,16-Oct-17
8,T,6,8.02,8.46,527,12.4,16-Oct-17
9,C,6,8.29,8.28,523,14.9,16-Oct-17
1,T,7,8.03,7.91,555,13.0,17-Oct-17
2,T,7,8.01,8.00,554,12.9,17-Oct-17
3,C,7,8.20,8.85,556,16.5,17-Oct-17
4,T,7,8.01,8.10,576,13.1,17-Oct-17
5,C,7,8.26,8.88,572,17.2,17-Oct-17
6,T,7,8.02,8.10,575,13.0,17-Oct-17
7,T,7,8.03,8.11,576,12.9,17-Oct-17
8,T,7,8.03,8.14,581,12.9,17-Oct-17
9,C,7,8.23,8.44,575,17.6,17-Oct-17
1,T,8,8.11,8.45,476,13.2,17-Oct-17
2,T,8,8.12,8.54,481,13.3,18-Oct-17
3,C,8,8.21,8.68,485,16.3,18-Oct-17
4,T,8,8.13,8.67,482,13.3,18-Oct-17
5,C,8,8.27,8.69,485,16.7,18-Oct-17
6,T,8,8.11,8.60,481,13.3,18-Oct-17
7,T,8,8.11,8.60,481,13.2,18-Oct-17
8,T,8,8.11,8.60,481,13.2,18-Oct-17
9,C,8,8.23,8.37,479,16.8,18-Oct-17
1,T,9,8.03,8.26,529,12.7,19-Oct-17
2,T,9,8.02,8.31,529,12.7,19-Oct-17
3,C,9,8.16,8.67,525,14.7,19-Oct-17
4,T,9,8.06,8.39,528,12.8,19-Oct-17
5,C,9,8.19,8.63,528,15.0,19-Oct-17
6,T,9,8.05,8.38,529,12.7,19-Oct-17
7,T,9,8.05,8.37,529,12.8,19-Oct-17
8,T,9,8.06,8.37,528,12.7,19-Oct-17
9,C,9,8.14,8.24,529,15.0,19-Oct-17
1,T,10,7.91,8.15,493,13.3,20-Oct-17
2,T,10,7.94,8.17,500,13.2,20-Oct-17
3,C,10,8.09,8.87,493,15.2,20-Oct-17
4,T,10,7.94,8.26,500,13.3,20-Oct-17
5,C,10,8.11,8.78,498,15.6,20-Oct-17
6,T,10,7.94,8.26,500,13.2,20-Oct-17
7,T,10,7.93,8.25,498,13.2,20-Oct-17
8,T,10,7.93,8.26,498,13.2,20-Oct-17
9,C,10,8.12,8.70,497,15.5,20-Oct-17
